author,comment,likes,published_at
@Cadudantasr,"I, and many others who truly loved Eternals, want them back — whether in Avengers: Doomsday or in a Disney+ series with the same cast.

The movie may not have pleased everyone, but those of us who connected with it want more — much more.

Anyone who is awake to reality, not trapped in the illusion of the imposed Matrix, understood the film, its depth, its themes, and its courage.

Eternals wasn’t made for everyone — and that’s exactly why it mattered.

Kevin Feige, please… do this for us.",0,2026-01-26T05:01:48Z
@sergiom1136,"25th January 2026
11 months and 22 days to Doomsday",1,2026-01-26T02:51:09Z
@JoshuaPing-x8e,This is the version of Thor that Odin always wanted him to be,0,2026-01-26T02:05:50Z
@tawhidulislam-d7c,I want to hear that words again with infinity aura '' BRING ME DOOM '',2,2026-01-25T19:43:46Z
@NaniMaTales,Where is thor dog Thunderpaw ????,2,2026-01-25T13:49:53Z
@michaelkamau2957,Let me guess; Super Bowl will have a longer trailer 😃,4,2026-01-25T13:17:50Z
@NatiBog-n9j2d,Me thinking it's an AI video ..,1,2026-01-25T11:41:26Z
@MrMarvelStudios,Lets hope this time he goes for the head,1,2026-01-25T10:28:35Z
@gennarommauriello,Knull is the end,1,2026-01-25T09:41:53Z
@JayantSahu-m1g,Ethan Hunt will return in Avengers:Doomsday,4,2026-01-25T08:49:08Z
@motomaniac_95,This trailer is the most viewed compared to other doomsday trailers... Thor 🔥,6,2026-01-25T08:10:42Z
@MAXEDIZZ,Could be thor could have lost his powers as we seen in avengers doomsday teaser he was begging for strength to save the child so loki could come back and could loki is gonna be absolutely crazy,0,2026-01-25T07:11:11Z
@vengeanceIl,Ik this is random but it would be dope if this came up by the end of a movie as a cliffhanger,1,2026-01-25T02:28:05Z
@danielwong765,He's gonna die.,1,2026-01-25T02:00:52Z
@EdgarHaro-m8r,1:15 That Time Clock when the movie come out later of this year gives good chills.,0,2026-01-25T00:21:21Z
@dadroopdawg2003,“Please Father Head My Words” Dawg this got me war ready😂,1,2026-01-24T22:25:22Z
@DakiWoods,please make sure they show strengths aligned with their powers etc thor thunder strikes real fast he indirectly has super speed and teleportation or maybe just cut out the super speed,1,2026-01-24T20:02:55Z
@NetashaMcclure,I really want Wanda to be in Doomsday ❤❤,1,2026-01-24T17:55:23Z
@thsuso,Finally serious thor,3,2026-01-24T10:32:07Z
@НикитаРослик-ъ4л,Мой любимый актер в Марвел,0,2026-01-24T09:32:25Z
@VengeanceIGuess,Doomsday is upon us.,2,2026-01-24T07:44:55Z
@thomasmashishi3539,powerful,0,2026-01-24T07:33:22Z
@BarDog8131,"Thanos truly is *inevitable* 🫰😈💀

""Marvel Jesus"" is foreshadowing deadpools role in Secret Wars

Loki is the false demiurge who stripped away free will ♾️ 

Doom-Stark lost his timeline with his Morgan in & he's pissed 😡 

Captain America created his own ""Flash point Paradox"" and he still has the soul stone on him

The time heist has to be undone

Thor has unknowingly been in possession of the Odin force since Ragnarok",0,2026-01-24T05:27:26Z
@SuryaMen-g3u,RIP THOR IN DOOMSDAY 😢,0,2026-01-24T02:57:09Z
@davidfrunza9776,Finally they’re not making this Thor a joke,0,2026-01-24T02:47:21Z
@hugobci,Doom is such a menace that even a god is praying!,2,2026-01-23T21:45:49Z
@siyabongaradebe5276,"Seems like every hero is returning, Thanos must return lol...",1,2026-01-23T21:29:34Z
